UsageDuration,Userid,Text,Sentiment,Timestamp,User,App,Hashtags,time_spent,Likes,Country,Year,Month,Day,Hour,Age,gender
5,327," Fearful eyes scanning the shadows, a prisoner of the night, terrorized by the lurking monsters born from the mind's darkest corners. ",Negative,1/7/2023 3:30,User322, Twitter ,#Tag322 #Fun,1,36, India ,2023,1,7,3,38,male
40,686,Accidentally walked into the wrong classroom on the first day. Classroom mix-up: Awkward start! ,Neutral,9/9/2023 17:30,User681, Twitter ,#Tag681 #Fun,1,32, USA,2023,9,9,17,27,male
5,154, Contentment in the embrace of a loved one.           ,Positive,11/12/2010 20:20,User151, Twitter  ,#Tag151 #Fun,1,60, India    ,2010,11,12,20,54,female
54,688,Reflecting on the challenges of the school year. Feeling a bit overwhelmed with assignments. ,Neutral,9/11/2023 15:45,User683, Twitter ,#Tag683 #Fun,1,28, USA,2018,9,11,15,33,male
2,155, Serenity found in the beauty of a sunset by the sea.  ,Negative,7/22/2011 18:30,User152, Instagram ,#Tag152 #Fun,1,45, Canada     ,2011,7,22,18,40,non-binary
2,280," Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ",Neutral,11/18/2019 15:15,User275, Instagram ,#Tag275 #Fun,1,50, USA ,2019,11,18,15,20,male
36,691,Feeling down after not making the sports team. Disappointment lingers. ,Negative,9/14/2023 18:20,User686, Twitter ,#Tag686 #Fun,1,34, USA,2020,9,14,18,29,male
9,238," Determination as the driving force, propelling me forward on the path to extraordinary achievements. ",Negative,12/3/2019 13:45,User233, Facebook ,#Tag233 #Fun,1,40, USA          ,2019,12,3,13,23,male
31,694,Dealing with a personal setback. Sometimes life throws unexpected challenges. ,Negative,9/17/2023 20:45,User689, Twitter ,#Tag689 #Fun,1,44, USA,2016,9,17,20,25,male
6,573,"In the realm of literature, a captivating novel transports the reader to distant lands, weaving a tapestry of imagination and escape. ",Positive,10/8/2021 20:30,User568, Facebook ,#Tag568 #Fun,1,70, Japan ,2021,10,8,20,29,female
4,388,Rejuvenated by the salty breeze and the sound of waves at the seaside. ,Positive,9/20/2021 14:30,User383, Twitter  ,#Tag383 #Fun,1,35, Spain           ,2021,9,20,14,24,male
26,695,Feeling lonely on a Saturday night. Sometimes solitude hits harder than expected. ,Neutral,9/18/2023 22:00,User690, Instagram ,#Tag690 #Fun,1,31, Canada,2018,9,18,22,45,male
23,72, A bitter experience turned into a valuable lesson.      ,Positive,2/17/2023 15:00,User69, Facebook ,#Tag69 #Fun,1,35, USA       ,2023,2,17,15,61,female
38,71, Anticipating a thrilling adventure in the coming weeks. ,Positive,2/17/2023 7:30,User68, Instagram ,#Tag68 #Fun,1,40,USA,2023,2,17,7,43,non-binary
3,285," Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",Negative,7/17/2022 6:15,User280, Instagram ,#Tag280 #Fun,1,28, UK ,2022,7,17,6,28,male
25,707,Having a string of bad luck with constant technology malfunctions. Tech troubles galore! ,Neutral,9/30/2023 18:20,User702, Instagram ,#Tag702 #Fun,1,43, Canada,2020,9,30,18,50,male
9,64, Admiring the beauty of nature during a peaceful hike.   ,Negative,2/15/2023 11:30,User61, Twitter  ,#Tag61 #Fun,1,40, USA       ,2023,2,15,11,21,non-binary
51,710,Organizing a community cleanup event for a cleaner neighborhood. Promoting environmental awareness. ,Negative,10/3/2023 12:30,User705, Twitter ,#Tag705 #Fun,1,50, Canada,2019,10,3,12,45,non-binary
4,631,"Enrolled in a dance class for seniors, moving to the rhythm of life. Age is just a number on the dance floor. #DanceClass #SeniorDancer ",Positive,7/5/2023 20:15,User626, Twitter ,#Tag626 #Fun,1,35, UK,2021,7,5,20,21,female
1,559,"The gymnast's unexpected fall during a routine sparks a wave of sympathy from the audience, highlighting the vulnerability of sports. ",Neutral,4/5/2021 20:15,User554, Instagram ,#Tag554 #Fun,1,55, Japan ,2021,4,5,20,42,female
6,719,Attending a workshop on time management to enhance organizational skills. Striving for efficiency. ,Positive,10/12/2023 18:20,User714, Twitter ,#Tag714 #Fun,1,44, Canada,2018,10,12,18,42,non-binary
2,386,Radiant joy akin to blooming flowers on a sun-kissed spring morning. ,Positive,5/5/2022 10:15,User381, Facebook ,#Tag381 #Fun,1,50, Netherlands     ,2022,5,5,10,41,non-binary
4,53, Sunday bike ride through scenic trails.           ,Negative,2/1/2023 13:30,User51, Instagram ,#Tag51 #Fun,1,35, USA     ,2023,2,1,13,64,male
1,153, The euphoria of a successful product launch.         ,Positive,4/3/2022 11:45,User150, Facebook ,#Tag150 #Fun,1,30, USA       ,2022,4,3,11,47,male
